Constituency_2017,Party_2017,key,Constituency_2022,Party_2022
Bhojpur 1,CPN (Maoist Centre) (49),bhojpur 1,Bhojpur 1,Maoist Centre
Jhapa 1,CPN (Maoist Centre) (49),jhapa 1,Jhapa 1,Congress
Siraha 2,CPN (Maoist Centre) (49),siraha 2,Siraha 2,PSP-Nepal
Udayapur 2,CPN (Maoist Centre) (49),udayapur 2,Udayapur 2,CPN (UML)
Salyan 1,CPN (Maoist Centre) (49),salyan 1,Salyan 1,Unified Socialist
Kathmandu 2,CPN (Unified Socialist) (25),kathmandu 2,Kathmandu 2,RSP
Kathmandu 8,CPN (Unified Socialist) (25),kathmandu 8,Kathmandu 8,RSP
Tehrathum 1,CPN (Unified Socialist) (25),tehrathum 1,Tehrathum 1,Congress
Makwanpur 2,CPN (Unified Socialist) (25),makwanpur 2,Makwanpur 2,CPN (UML)
Dolpa 1,CPN (Unified Socialist) (25),dolpa 1,Dolpa 1,Unified Socialist
Mugu 1,CPN (Unified Socialist) (25),mugu 1,Mugu 1,Congress
Dang 3,CPN (Unified Socialist) (25),dang 3,Dang 3,Congress
Ilam 1,CPN (Unified Socialist) (25),ilam 1,Ilam 1,CPN (UML)
Tanahun 1,CPN (Unified Socialist) (25),tanahun 1,Tanahun 1,Congress
Lalitpur 2,CPN (Unified Socialist) (25),lalitpur 2,Lalitpur 2,CPN (UML)
Dang 1,CPN (Unified Socialist) (25),dang 1,Dang 1,Unified Socialist
Doti 1,CPN (Unified Socialist) (25),doti 1,Doti 1,Unified Socialist
Palpa 2,CPN (Unified Socialist) (25),palpa 2,Palpa 2,CPN (UML)
Saptari 2,"People's Socialist Party, Nepal (19)",saptari 2,Saptari 2,Janamat
Sarlahi 1,"People's Socialist Party, Nepal (19)",sarlahi 1,Sarlahi 1,Loktantrik Samajwadi
Gorkha 2,"People's Socialist Party, Nepal (19)",gorkha 2,Gorkha 2,Maoist Centre
Sarlahi 2,"People's Socialist Party, Nepal (19)",sarlahi 2,Sarlahi 2,Maoist Centre
Banke 2,"People's Socialist Party, Nepal (19)",banke 2,Banke 2,RPP
Parsa 1,"People's Socialist Party, Nepal (19)",parsa 1,Parsa 1,PSP-Nepal
Siraha 4,"People's Socialist Party, Nepal (19)",siraha 4,Siraha 4,PSP-Nepal
Bara 2,"People's Socialist Party, Nepal (19)",bara 2,Bara 2,PSP-Nepal
Bara 3,"People's Socialist Party, Nepal (19)",bara 3,Bara 3,CPN (UML)
Mahottari 4,"People's Socialist Party, Nepal (19)",mahottari 4,Mahottari 4,Congress
Saptari 1,"People's Socialist Party, Nepal (19)",saptari 1,Saptari 1,PSP-Nepal
Mahottari 3,Loktantrik Samajwadi Party (13),mahottari 3,Mahottari 3,Loktantrik Samajwadi
Dhanusha 2,Loktantrik Samajwadi Party (13),dhanusha 2,Dhanusha 2,Congress
Parsa 2,Loktantrik Samajwadi Party (13),parsa 2,Parsa 2,Congress
Parsa 4,Loktantrik Samajwadi Party (13),parsa 4,Parsa 4,Congress
Rautahat 1,Loktantrik Samajwadi Party (13),rautahat 1,Rautahat 1,Unified Socialist
Saptari 3,Loktantrik Samajwadi Party (13),saptari 3,Saptari 3,Congress
Bara 4,Loktantrik Samajwadi Party (13),bara 4,Bara 4,Unified Socialist
Dhanusha 3,Loktantrik Samajwadi Party (13),dhanusha 3,Dhanusha 3,CPN (UML)
Mahottari 2,Loktantrik Samajwadi Party (13),mahottari 2,Mahottari 2,Loktantrik Samajwadi
Jhapa 3,Rastriya Prajatantra Party (1),jhapa 3,Jhapa 3,RPP
Pyuthan 1,Rastriya Janamorcha (1),pyuthan 1,Pyuthan 1,CPN (UML)
Bhaktapur 1,Nepal Majdoor Kisan Party (1),bhaktapur 1,Bhaktapur 1,NMKP
Humla 1,Independent (1),humla 1,Humla 1,Maoist Centre
Kailali 3,,kailali 3,Kailali 3,Nagrik Unmukti Party
Arghakhanchi 1,,arghakhanchi 1,Arghakhanchi 1,CPN (UML)
Kailali 4,,kailali 4,Kailali 4,Congress
Rautahat 3,,rautahat 3,Rautahat 3,Independent
Kailali 1,RJPN,kailali 1,Kailali 1,Nagrik Unmukti Party
Parsa 3,Forum Nepal,parsa 3,Parsa 3,CPN (UML)
Rautahat 2,Congress,rautahat 2,Rautahat 2,Independent
